file,points,patches,inference_time_s,points_per_second
position1_lying_0.pcd,23831,6,0.21783801399999447,109397.80235051447
position1_lying_180.pcd,24927,7,0.24390472199996793,102199.74338997535
position1_lying_270.pcd,24901,7,0.24437325799999599,101897.40155610812
position1_lying_90.pcd,24812,7,0.24895501899999317,99664.59041342196
position1_sitting_0.pcd,26354,7,0.2864734300000009,91994.56996762288
position1_sitting_180.pcd,25723,7,0.2853372609999951,90149.46001041358
position1_sitting_270.pcd,26525,7,0.2851399049999941,93024.51019614581
position1_sitting_90.pcd,25477,7,0.2861791919999632,89024.64159589658
position1_standing_0.pcd,24974,7,0.28551635899998473,87469.59399269074
position1_standing_180.pcd,24905,7,0.28523010199995724,87315.46854757894
position1_standing_270.pcd,24466,6,0.24494669799997837,99882.95494394524
position1_standing_90.pcd,24773,7,0.2863692770000057,86507.18491704509
position1_standing_closest.pcd,54041,14,0.5713883469999814,94578.40763420706
position1_tpose_0.pcd,25160,7,0.28678099499995824,87732.45242420497
position1_tpose_180.pcd,24658,7,0.28654244500000914,86053.5687828001
position1_tpose_270.pcd,24938,7,0.286618830000009,87007.54238651808
position1_tpose_90.pcd,24576,6,0.24587109499998405,99954.8157541723
position2_all-barrier.pcd,49759,13,0.5331931650000001,93322.6516510203
position2_all-barrier_sitting_right_270.pcd,50880,13,0.5313581010000235,95754.63308876466
position2_all-barrier_standing_left_270.pcd,50331,13,0.5308663630000297,94809.17139969027
position2_bottom-barrier.pcd,51243,13,0.5311654660000045,96472.7627831128
position2_empty.pcd,49593,13,0.5317748370000004,93259.39579950445
position2_lying_0.pcd,53155,13,0.5313562090000232,100036.47101448978
position2_lying_180.pcd,53412,14,0.5727130299999885,93261.36686640616
position2_lying_270.pcd,53138,13,0.5318611870000041,99909.52770915316
position2_lying_90.pcd,52456,13,0.5319446860000312,98611.75678705233
position2_sitting_0.pcd,53892,14,0.5718770130000053,94237.04533477988
position2_sitting_180.pcd,53991,14,0.5731631630000038,94198.30771643578
position2_sitting_270.pcd,53676,14,0.5733263070000021,93622.07759289128
position2_sitting_90.pcd,53944,14,0.573750035000046,94020.03783755007
position2_sitting_bottom-barrier_center_0.pcd,52441,13,0.5325845500000241,98465.11694715444
position2_sitting_bottom-barrier_center_180.pcd,51590,13,0.5336805519999643,96668.3155431968
position2_sitting_bottom-barrier_center_270.pcd,52452,13,0.5319108919999849,98610.50185075265
position2_sitting_bottom-barrier_center_90.pcd,51843,13,0.5319368909999866,97460.80950042869
position2_sitting_bottom-barrier_left_0.pcd,51139,13,0.5315506320000054,96207.20383227666
position2_sitting_bottom-barrier_left_180.pcd,51908,13,0.5317972549999581,97608.62718256055
position2_sitting_bottom-barrier_left_270.pcd,51126,13,0.5314734080000107,96196.72260253323
position2_sitting_bottom-barrier_left_90.pcd,51899,13,0.5326455019999798,97436.28699600276
position2_sitting_bottom-barrier_right_0.pcd,51346,13,0.5327171869999461,96385.10123760132
position2_sitting_bottom-barrier_right_180.pcd,51164,13,0.5325476849999973,96074.02574663387
position2_sitting_bottom-barrier_right_270.pcd,52499,13,0.5322416790000375,98637.52139560702
position2_sitting_bottom-barrier_right_90.pcd,51893,13,0.5352435369999853,96952.1281674092
position2_standing_0.pcd,53461,14,0.5725900379999871,93366.97541357017
position2_standing_180.pcd,53655,14,0.574526929000001,93389.87833588546
position2_standing_270.pcd,53775,14,0.5749719339999615,93526.30419001218
position2_standing_90.pcd,53753,14,0.5739364529999875,93656.71010968382
position2_standing_bottom-barrier_center_0.pcd,51185,13,0.5330392330000109,96024.82675041474
position2_standing_bottom-barrier_center_180.pcd,51960,13,0.5330964980000203,97468.28237464433
position2_standing_bottom-barrier_center_270.pcd,52048,13,0.5323982279999768,97761.4072750112
position2_standing_bottom-barrier_center_90.pcd,51589,13,0.5331367709999881,96765.03817816977
position2_standing_bottom-barrier_left_0.pcd,51082,13,0.5333502249999924,95775.71660347706
position2_standing_bottom-barrier_left_180.pcd,50148,13,0.5344509119999543,93830.88114181062
position2_standing_bottom-barrier_left_270.pcd,50305,13,0.5339788969999972,94207.84282417112
position2_standing_bottom-barrier_left_90.pcd,52149,13,0.5340336820000289,97651.14403401465
