file,points,patches,inference_time_s,points_per_second
position1_lying_0.pcd,23831,6,0.024967474000000323,954481.819025813
position1_lying_180.pcd,24927,7,0.026946900999995194,925041.4361192943
position1_lying_270.pcd,24901,7,0.027091564999999207,919142.1758027168
position1_lying_90.pcd,24812,7,0.026679282999999998,930010.0006435706
position1_sitting_0.pcd,26354,7,0.027224996999997586,968007.4528567381
position1_sitting_180.pcd,25723,7,0.0254234399999973,1011782.8271863577
position1_sitting_270.pcd,26525,7,0.021802532999998903,1216601.7590708996
position1_sitting_90.pcd,25477,7,0.023164119999997013,1099847.5228069655
position1_standing_0.pcd,24974,7,0.02227852799999397,1120989.6811857033
position1_standing_180.pcd,24905,7,0.02223972599999513,1119842.9333169595
position1_standing_270.pcd,24466,6,0.020267578999998648,1207149.605781807
position1_standing_90.pcd,24773,7,0.02242908499999885,1104503.3714037496
position1_standing_closest.pcd,54041,14,0.0431001720000026,1253846.504371183
position1_tpose_0.pcd,25160,7,0.023262447000000464,1081571.5130914429
position1_tpose_180.pcd,24658,7,0.02313381799999803,1065885.4496046482
position1_tpose_270.pcd,24938,7,0.023037675999994178,1082487.660647988
position1_tpose_90.pcd,24576,6,0.019262432000004992,1275851.356671558
position2_all-barrier.pcd,49759,13,0.03914161600000199,1271255.6374779588
position2_all-barrier_sitting_right_270.pcd,50880,13,0.04151021700000257,1225722.3324078708
position2_all-barrier_standing_left_270.pcd,50331,13,0.04135228499999499,1217127.421132982
position2_bottom-barrier.pcd,51243,13,0.04521915499999807,1133214.4530343874
position2_empty.pcd,49593,13,0.04057287399999865,1222319.1287854454
position2_lying_0.pcd,53155,13,0.043134643999998445,1232304.1312222704
position2_lying_180.pcd,53412,14,0.04473027600000279,1194090.5528952398
position2_lying_270.pcd,53138,13,0.042247371000001976,1257782.4073360094
position2_lying_90.pcd,52456,13,0.041193222999993395,1273413.347627798
position2_sitting_0.pcd,53892,14,0.04482566499999052,1202257.679836125
position2_sitting_180.pcd,53991,14,0.044775483999998755,1205816.1113345309
position2_sitting_270.pcd,53676,14,0.04451569900000152,1205776.865370533
position2_sitting_90.pcd,53944,14,0.045707191999994734,1180208.1387980739
position2_sitting_bottom-barrier_center_0.pcd,52441,13,0.04105790000001264,1277245.0612423883
position2_sitting_bottom-barrier_center_180.pcd,51590,13,0.04165681699998913,1238452.7603252418
position2_sitting_bottom-barrier_center_270.pcd,52452,13,0.04153551500000674,1262822.9119102408
position2_sitting_bottom-barrier_center_90.pcd,51843,13,0.04234531200000902,1224291.3690183451
