file,points,patches,inference_time_s,points_per_second
position1_lying_0.pcd,23831,6,0.7379356299999955,32294.144680343114
position1_lying_180.pcd,24927,7,0.8214981449999925,30343.34301509619
position1_lying_270.pcd,24901,7,0.8227322079999908,30266.22728254766
position1_lying_90.pcd,24812,7,0.8227395950000016,30157.780360625467
position1_sitting_0.pcd,26354,7,0.8387632809999985,31420.068804847986
position1_sitting_180.pcd,25723,7,0.8298847209999991,30995.87129282746
position1_sitting_270.pcd,26525,7,0.835292944999992,31755.326270593912
position1_sitting_90.pcd,25477,7,0.8292244929999981,30723.887457579065
position1_standing_0.pcd,24974,7,0.8228166899999962,30351.83936290854
position1_standing_180.pcd,24905,7,0.8228156639999895,30268.018815937754
position1_standing_270.pcd,24466,6,0.7137897890000033,34276.197806466356
position1_standing_90.pcd,24773,7,0.8253337589999887,30015.735730980003
position1_standing_closest.pcd,54041,14,1.6870925939999921,32032.029653969457
position1_tpose_0.pcd,25160,7,0.8462332619999984,29731.754977979166
position1_tpose_180.pcd,24658,7,0.8416492450000135,29297.240087228503
position1_tpose_270.pcd,24938,7,0.8388392760000016,29729.17543741711
position1_tpose_90.pcd,24576,6,0.7288593840000033,33718.43806843254
position2_all-barrier.pcd,49759,13,1.579421620000005,31504.570641498398
position2_all-barrier_sitting_right_270.pcd,50880,13,1.6037710220000037,31725.22716899413
position2_all-barrier_standing_left_270.pcd,50331,13,1.607681655999997,31306.571056627206
position2_bottom-barrier.pcd,51243,13,1.5821081380000095,32389.062902348647
position2_empty.pcd,49593,13,1.624372782000009,30530.553423173358
position2_lying_0.pcd,53155,13,1.5746409169999964,33756.902558629576
position2_lying_180.pcd,53412,14,1.6835319040000059,31726.158484490363
position2_lying_270.pcd,53138,13,1.591849064999991,33381.30553225554
position2_lying_90.pcd,52456,13,1.5818714729999925,33160.72190145643
position2_sitting_0.pcd,53892,14,1.6971805990000064,31753.839297805807
position2_sitting_180.pcd,53991,14,1.6870110179999926,32003.940356007937
position2_sitting_270.pcd,53676,14,1.682450278999994,31903.46880973128
position2_sitting_90.pcd,53944,14,1.6844552109999853,32024.597417449808
position2_sitting_bottom-barrier_center_0.pcd,52441,13,1.5740836969999918,33315.25515444067
position2_sitting_bottom-barrier_center_180.pcd,51590,13,1.5705442889999972,32848.48466950816
position2_sitting_bottom-barrier_center_270.pcd,52452,13,1.5764847920000022,33271.49127360559
position2_sitting_bottom-barrier_center_90.pcd,51843,13,1.5883056689999933,32640.44258725127
position2_sitting_bottom-barrier_left_0.pcd,51139,13,1.5759842540000193,32448.928261944027
position2_sitting_bottom-barrier_left_180.pcd,51908,13,1.5691954790000011,33079.37136874708
position2_sitting_bottom-barrier_left_270.pcd,51126,13,1.5746038670000075,32469.118786941068
position2_sitting_bottom-barrier_left_90.pcd,51899,13,1.5812871260000065,32820.73138183494
position2_sitting_bottom-barrier_right_0.pcd,51346,13,1.5733888890000003,32634.017158106417
position2_sitting_bottom-barrier_right_180.pcd,51164,13,1.5815694439999959,32350.14446826916
position2_sitting_bottom-barrier_right_270.pcd,52499,13,1.573634640999984,33361.619420527575
position2_sitting_bottom-barrier_right_90.pcd,51893,13,1.571292337999978,33025.681310234155
position2_standing_0.pcd,53461,14,1.6821274090000031,31781.778071009307
position2_standing_180.pcd,53655,14,1.689655092999999,31755.00149248509
position2_standing_270.pcd,53775,14,1.6922292850000247,31777.608670800906
position2_standing_90.pcd,53753,14,1.6873227730000053,31856.97535773129
position2_standing_bottom-barrier_center_0.pcd,51185,13,1.5772221519999903,32452.62560831717
position2_standing_bottom-barrier_center_180.pcd,51960,13,1.5693473850000146,33109.30422202189
position2_standing_bottom-barrier_center_270.pcd,52048,13,1.5787297610000053,32968.27695642575
position2_standing_bottom-barrier_center_90.pcd,51589,13,1.5742575840000086,32770.36777483279
position2_standing_bottom-barrier_left_0.pcd,51082,13,1.5724325839999835,32485.971430365968
position2_standing_bottom-barrier_left_180.pcd,50148,13,1.5709902720000173,31921.2670465215
position2_standing_bottom-barrier_left_270.pcd,50305,13,1.5722239239999851,31996.078441559497
position2_standing_bottom-barrier_left_90.pcd,52149,13,1.5674978830000157,33268.94445317696
position2_standing_bottom-barrier_right_0.pcd,51748,13,1.5702534650000075,32955.18918023833
position2_standing_bottom-barrier_right_180.pcd,51777,13,1.5832196460000034,32703.61135980995
position2_standing_bottom-barrier_right_270.pcd,51280,13,1.568659982000014,32690.322050938597
position2_standing_bottom-barrier_right_90.pcd,51843,13,1.5723545630000046,32971.57092932343
position2_standing_top-barrier-center.pcd,54683,14,1.688042920999976,32394.318485460342
position2_standing_top-barrier_left.pcd,54312,14,1.6850788170000044,32231.133316774616
position2_standing_top-barrier_right.pcd,54489,14,1.686975966999995,32299.80809797758
position2_top-barrier.pcd,50768,13,1.5671713670000145,32394.670467457265
position2_tpose_0.pcd,53025,13,1.5752057580000098,33662.26902784066
position2_tpose_180.pcd,53810,14,1.6854042239999956,31927.058941558782
position2_tpose_270.pcd,53888,14,1.6844950969999957,31990.594746147926
position2_tpose_90.pcd,54017,14,1.6854070470000124,32049.82446000156
position2_tpose_bottom-barrier_center_0.pcd,51594,13,1.5692744579999953,32877.614069979434
position2_tpose_bottom-barrier_center_180.pcd,51506,13,1.571929694000005,32766.096471487508
position2_tpose_bottom-barrier_center_270.pcd,52104,13,1.5737538840000127,33108.099385634036
position2_tpose_bottom-barrier_center_90.pcd,51583,13,1.5740624220000257,32770.61905490248
position2_tpose_bottom-barrier_left_0.pcd,50440,13,1.5768990759999895,31986.828306062333
position2_tpose_bottom-barrier_left_180.pcd,50099,13,1.5667169539999861,31977.058697228116
position2_tpose_bottom-barrier_left_270.pcd,50567,13,1.5688448920000155,32231.994544429126
position2_tpose_bottom-barrier_left_90.pcd,50094,13,1.5643589280000185,32022.06290601322
position2_tpose_bottom-barrier_right_0.pcd,52015,13,1.5759397940000213,33005.70250084014
position2_tpose_bottom-barrier_right_180.pcd,51567,13,1.567901513999999,32889.18311485222
position2_tpose_bottom-barrier_right_270.pcd,51359,13,1.5734033120000106,32641.98035449391
position2_tpose_bottom-barrier_right_90.pcd,51617,13,1.5698633799999868,32879.93124599189
