file,points,patches,inference_time_s,points_per_second
position1_lying_0.pcd,23831,6,0.0340084399999796,700737.8168482381
position1_lying_180.pcd,24927,7,0.03948671099999501,631275.6714531921
position1_lying_270.pcd,24901,7,0.03889248199999429,640252.2729200892
position1_lying_90.pcd,24812,7,0.03934222300000556,630671.0223262294
position1_sitting_0.pcd,26354,7,0.03009811900000159,875602.8906656462
position1_sitting_180.pcd,25723,7,0.02761809600002607,931382.0909296469
position1_sitting_270.pcd,26525,7,0.027788334999968356,954537.2185857916
position1_sitting_90.pcd,25477,7,0.027787509000006594,916850.805158316
position1_standing_0.pcd,24974,7,0.027294365000045673,914987.3975803507
position1_standing_180.pcd,24905,7,0.02759558200000356,902499.5377882151
position1_standing_270.pcd,24466,6,0.023742045000005874,1030492.5291816248
position1_standing_90.pcd,24773,7,0.02738858100002517,904501.0400494
position1_standing_closest.pcd,54041,14,0.05495771400001104,983319.6482661042
position1_tpose_0.pcd,25160,7,0.0270531439999786,930021.2943833774
position1_tpose_180.pcd,24658,7,0.02747166400001788,897579.411279344
position1_tpose_270.pcd,24938,7,0.02754947500000071,905207.8124900513
position1_tpose_90.pcd,24576,6,0.023674798999991253,1038065.8353217309
position2_all-barrier.pcd,49759,13,0.050935325000011744,976905.5169470015
position2_all-barrier_sitting_right_270.pcd,50880,13,0.05146184099999118,988693.7391145552
position2_all-barrier_standing_left_270.pcd,50331,13,0.05107304699998849,985470.8688128856
position2_bottom-barrier.pcd,51243,13,0.050811235000026045,1008497.4317190624
position2_empty.pcd,49593,13,0.05107357900004672,971010.8625822881
position2_lying_0.pcd,53155,13,0.05093822899999623,1043518.8078486973
position2_lying_180.pcd,53412,14,0.054760307000037756,975378.0233548211
position2_lying_270.pcd,53138,13,0.051569113000027755,1030422.9975794115
position2_lying_90.pcd,52456,13,0.051004445999979,1028459.3621509309
position2_sitting_0.pcd,53892,14,0.0555281350000314,970535.0269727145
position2_sitting_180.pcd,53991,14,0.05479881799999475,985258.4776555796
position2_sitting_270.pcd,53676,14,0.054938878000029945,977013.0361958019
position2_sitting_90.pcd,53944,14,0.05478156700002046,984710.7878454783
position2_sitting_bottom-barrier_center_0.pcd,52441,13,0.05129187799997226,1022403.5860029996
position2_sitting_bottom-barrier_center_180.pcd,51590,13,0.05115287099999932,1008545.5418523954
position2_sitting_bottom-barrier_center_270.pcd,52452,13,0.051176628999996865,1024920.9653883849
position2_sitting_bottom-barrier_center_90.pcd,51843,13,0.051270377999969696,1011168.6713140801
