file,points,patches,inference_time_s,points_per_second
position1_lying_0.pcd,23831,6,0.11382781100002148,209360.0833630676
position1_lying_180.pcd,24927,7,0.12538525500002606,198803.28033782615
position1_lying_270.pcd,24901,7,0.10864994599995725,229185.57179963804
position1_lying_90.pcd,24812,7,0.10813070900002231,229463.02886069933
position1_sitting_0.pcd,26354,7,0.10774438099997496,244597.44216272517
position1_sitting_180.pcd,25723,7,0.10698277099999132,240440.58458723308
position1_sitting_270.pcd,26525,7,0.10828804900000932,244948.54459883858
position1_sitting_90.pcd,25477,7,0.10753393400000277,236920.56128067762
position1_standing_0.pcd,24974,7,0.10676251699999284,233921.04927613944
position1_standing_180.pcd,24905,7,0.10819716299999982,230181.6360933608
position1_standing_270.pcd,24466,6,0.09439247199998135,259194.39846860705
position1_standing_90.pcd,24773,7,0.10780094400001872,229803.18242849247
position1_standing_closest.pcd,54041,14,0.21736056099996404,248623.76022303762
position1_tpose_0.pcd,25160,7,0.1069729199999756,235199.7122262881
position1_tpose_180.pcd,24658,7,0.10790897300000779,228507.4105931693
position1_tpose_270.pcd,24938,7,0.1071825760000138,232668.4143138787
position1_tpose_90.pcd,24576,6,0.09225262300003578,266398.9293831837
position2_all-barrier.pcd,49759,13,0.20084735599999703,247745.35742457438
position2_all-barrier_sitting_right_270.pcd,50880,13,0.2027539039999624,250944.6131306524
position2_all-barrier_standing_left_270.pcd,50331,13,0.20340564000002814,247441.51637089826
position2_bottom-barrier.pcd,51243,13,0.20144844599997214,254372.77386596016
position2_empty.pcd,49593,13,0.2015027459999601,246115.75268562257
position2_lying_0.pcd,53155,13,0.20147735599999805,263826.17409373046
position2_lying_180.pcd,53412,14,0.22100332299999081,241679.62397561877
position2_lying_270.pcd,53138,13,0.20183064100001502,263280.1428797724
position2_lying_90.pcd,52456,13,0.2011214260000429,260817.56202339582
position2_sitting_0.pcd,53892,14,0.2174223630000256,247867.78717879014
position2_sitting_180.pcd,53991,14,0.21730261200002587,248459.96789027815
position2_sitting_270.pcd,53676,14,0.21843580600000223,245728.94427390466
position2_sitting_90.pcd,53944,14,0.21759790099997645,247906.80310838955
position2_sitting_bottom-barrier_center_0.pcd,52441,13,0.20167832599997837,260022.9833324064
position2_sitting_bottom-barrier_center_180.pcd,51590,13,0.20228019799998265,255042.26567943356
position2_sitting_bottom-barrier_center_270.pcd,52452,13,0.20493955000000597,255938.88539327073
position2_sitting_bottom-barrier_center_90.pcd,51843,13,0.20325131900000315,255068.4554229102
position2_sitting_bottom-barrier_left_0.pcd,51139,13,0.202334986999972,252744.22757151278
position2_sitting_bottom-barrier_left_180.pcd,51908,13,0.20257004500001585,256247.1662579526
position2_sitting_bottom-barrier_left_270.pcd,51126,13,0.2013577690000261,253906.26969050977
position2_sitting_bottom-barrier_left_90.pcd,51899,13,0.2016706500000396,257345.33012111485
position2_sitting_bottom-barrier_right_0.pcd,51346,13,0.2024964829999476,253564.8977173262
position2_sitting_bottom-barrier_right_180.pcd,51164,13,0.20170409099995368,253658.7123560709
position2_sitting_bottom-barrier_right_270.pcd,52499,13,0.2038303619999624,257562.21735017907
position2_sitting_bottom-barrier_right_90.pcd,51893,13,0.2023224790000313,256486.57656073882
position2_standing_0.pcd,53461,14,0.2175892530000283,245696.87731770947
position2_standing_180.pcd,53655,14,0.2166057169999931,247708.1433635554
position2_standing_270.pcd,53775,14,0.21814070499999616,246515.2021948446
position2_standing_90.pcd,53753,14,0.21765661799997815,246962.39652131964
position2_standing_bottom-barrier_center_0.pcd,51185,13,0.20258118499998545,252664.13561557396
position2_standing_bottom-barrier_center_180.pcd,51960,13,0.20360630999999785,255198.37769271762
position2_standing_bottom-barrier_center_270.pcd,52048,13,0.2020811460000118,257559.90120917544
position2_standing_bottom-barrier_center_90.pcd,51589,13,0.204446852999979,252334.5272524459
position2_standing_bottom-barrier_left_0.pcd,51082,13,0.2017284150000478,253221.6395989028
position2_standing_bottom-barrier_left_180.pcd,50148,13,0.20342388599999595,246519.72286086896
position2_standing_bottom-barrier_left_270.pcd,50305,13,0.20232542299999068,248634.10269505437
position2_standing_bottom-barrier_left_90.pcd,52149,13,0.20202015399996753,258137.6113593517
position2_standing_bottom-barrier_right_0.pcd,51748,13,0.20323673999996572,254619.31735378518
position2_standing_bottom-barrier_right_180.pcd,51777,13,0.20296425300000465,255104.03548746495
position2_standing_bottom-barrier_right_270.pcd,51280,13,0.20258698300000333,253125.8387909314
position2_standing_bottom-barrier_right_90.pcd,51843,13,0.20287932999997338,255536.135692122
position2_standing_top-barrier-center.pcd,54683,14,0.21763045899996314,251265.3800909792
position2_standing_top-barrier_left.pcd,54312,14,0.21806545900000174,249062.82842345777
position2_standing_top-barrier_right.pcd,54489,14,0.21791470499999832,250047.37518746345
position2_top-barrier.pcd,50768,13,0.20296343000001116,250133.73098787898
position2_tpose_0.pcd,53025,13,0.20487264299998742,258819.3290404481
position2_tpose_180.pcd,53810,14,0.21727727600000435,247655.90304988416
position2_tpose_270.pcd,53888,14,0.21744522899996355,247823.32658128376
position2_tpose_90.pcd,54017,14,0.21886479899995948,246805.33483143628
position2_tpose_bottom-barrier_center_0.pcd,51594,13,0.20378563000002714,253177.81239036887
position2_tpose_bottom-barrier_center_180.pcd,51506,13,0.20362589000001208,252944.2596911274
position2_tpose_bottom-barrier_center_270.pcd,52104,13,0.20181177299997444,258181.17162077854
position2_tpose_bottom-barrier_center_90.pcd,51583,13,0.20279864500002986,254355.74286007878
position2_tpose_bottom-barrier_left_0.pcd,50440,13,0.20324496900002487,248173.42465187333
position2_tpose_bottom-barrier_left_180.pcd,50099,13,0.2045593010000175,244911.86543502958
position2_tpose_bottom-barrier_left_270.pcd,50567,13,0.2025115590000155,249699.32703938213
position2_tpose_bottom-barrier_left_90.pcd,50094,13,0.20327243000002682,246437.7485918449
position2_tpose_bottom-barrier_right_0.pcd,52015,13,0.2024608459999513,256913.87262114135
position2_tpose_bottom-barrier_right_180.pcd,51567,13,0.20587266999996245,250480.06614967107
position2_tpose_bottom-barrier_right_270.pcd,51359,13,0.20378135600003588,252029.92564241725
position2_tpose_bottom-barrier_right_90.pcd,51617,13,0.20305998600002795,254195.82172133555
