file,points,patches,inference_time_s,points_per_second
position1_lying_0.pcd,23831,6,0.09333455899997034,255328.78984308025
position1_lying_180.pcd,24927,7,0.09713895800001637,256611.7705318169
position1_lying_270.pcd,24901,7,0.09364898899997343,265897.1577366101
position1_lying_90.pcd,24812,7,0.0849252050000473,292162.9685790712
position1_sitting_0.pcd,26354,7,0.08559825300000057,307880.1152635653
position1_sitting_180.pcd,25723,7,0.08548187599996027,300917.5886595184
position1_sitting_270.pcd,26525,7,0.08479743999998846,312804.254468102
position1_sitting_90.pcd,25477,7,0.08645459100000608,294686.49039121834
position1_standing_0.pcd,24974,7,0.08306968699997697,300639.1489112861
position1_standing_180.pcd,24905,7,0.08483732600001304,293561.82206869853
position1_standing_270.pcd,24466,6,0.07222406800002545,338751.34255787666
position1_standing_90.pcd,24773,7,0.08302358700001378,298385.08422908647
position1_standing_closest.pcd,54041,14,0.16868277200001103,320370.59481092985
position1_tpose_0.pcd,25160,7,0.0836907999999994,300630.41576852155
position1_tpose_180.pcd,24658,7,0.08345760700001392,295455.3921009967
position1_tpose_270.pcd,24938,7,0.08398934100000588,296918.62923413404
position1_tpose_90.pcd,24576,6,0.0722669620000147,340072.41095862037
position2_all-barrier.pcd,49759,13,0.15713565600003676,316662.6930299534
position2_all-barrier_sitting_right_270.pcd,50880,13,0.15754196400001774,322961.5697820948
position2_all-barrier_standing_left_270.pcd,50331,13,0.15654885899999726,321503.461101565
position2_bottom-barrier.pcd,51243,13,0.15728831600000603,325790.25132418633
position2_empty.pcd,49593,13,0.15753316699999687,314809.89650897443
position2_lying_0.pcd,53155,13,0.15610227000001942,340513.9464018902
position2_lying_180.pcd,53412,14,0.16798309299997527,317960.569996219
position2_lying_270.pcd,53138,13,0.1570990760000086,338245.1466487116
position2_lying_90.pcd,52456,13,0.15782903600000964,332359.62994791905
position2_sitting_0.pcd,53892,14,0.1703592380000032,316343.2792532154
position2_sitting_180.pcd,53991,14,0.16966459400003941,318221.96209061425
position2_sitting_270.pcd,53676,14,0.16830729399998745,318916.6596665977
position2_sitting_90.pcd,53944,14,0.16932784900001252,318577.2471484948
position2_sitting_bottom-barrier_center_0.pcd,52441,13,0.15723033900002292,333529.77760858455
position2_sitting_bottom-barrier_center_180.pcd,51590,13,0.15781221600002482,326907.51899708377
position2_sitting_bottom-barrier_center_270.pcd,52452,13,0.1573540069999808,333337.55523624126
position2_sitting_bottom-barrier_center_90.pcd,51843,13,0.15760757000003878,328937.2458441384
position2_sitting_bottom-barrier_left_0.pcd,51139,13,0.15704162900004803,325639.7703311162
position2_sitting_bottom-barrier_left_180.pcd,51908,13,0.15738739500000065,329810.40190670785
position2_sitting_bottom-barrier_left_270.pcd,51126,13,0.15784893099998953,323891.9622458729
position2_sitting_bottom-barrier_left_90.pcd,51899,13,0.15799386499998036,328487.4384205137
position2_sitting_bottom-barrier_right_0.pcd,51346,13,0.15731806899998446,326383.3603246495
position2_sitting_bottom-barrier_right_180.pcd,51164,13,0.15877291800001103,322246.3921712168
position2_sitting_bottom-barrier_right_270.pcd,52499,13,0.15594378499997674,336653.3651854598
position2_sitting_bottom-barrier_right_90.pcd,51893,13,0.1579642820000231,328510.9731324731
position2_standing_0.pcd,53461,14,0.16937085600000046,315644.6230631311
position2_standing_180.pcd,53655,14,0.16896672900003296,317547.7226643213
position2_standing_270.pcd,53775,14,0.1695840919999796,317099.31849035976
position2_standing_90.pcd,53753,14,0.16922342800000933,317645.14308265306
position2_standing_bottom-barrier_center_0.pcd,51185,13,0.15801646300002403,323921.9447659211
position2_standing_bottom-barrier_center_180.pcd,51960,13,0.15648624099998187,332041.9716644994
position2_standing_bottom-barrier_center_270.pcd,52048,13,0.15778203799999346,329872.7831111052
position2_standing_bottom-barrier_center_90.pcd,51589,13,0.15637553599998455,329904.54465975484
position2_standing_bottom-barrier_left_0.pcd,51082,13,0.15858461200002694,322111.95875670033
position2_standing_bottom-barrier_left_180.pcd,50148,13,0.15745446799996898,318492.0735308056
position2_standing_bottom-barrier_left_270.pcd,50305,13,0.1573161329999948,319770.12808979774
position2_standing_bottom-barrier_left_90.pcd,52149,13,0.15716278000002148,331815.20459228876
position2_standing_bottom-barrier_right_0.pcd,51748,13,0.15756631199997173,328420.4557634711
position2_standing_bottom-barrier_right_180.pcd,51777,13,0.15755614800002604,328625.7036443379
position2_standing_bottom-barrier_right_270.pcd,51280,13,0.15766254300001492,325251.635703955
position2_standing_bottom-barrier_right_90.pcd,51843,13,0.15830951300000606,327478.74096484657
position2_standing_top-barrier-center.pcd,54683,14,0.16982317399998692,321999.63474952016
position2_standing_top-barrier_left.pcd,54312,14,0.17006958100000702,319351.6423139642
position2_standing_top-barrier_right.pcd,54489,14,0.17005061899999419,320428.1191120031
position2_top-barrier.pcd,50768,13,0.15732047199998078,322704.3458146134
position2_tpose_0.pcd,53025,13,0.15727368199998182,337151.13250801957
position2_tpose_180.pcd,53810,14,0.16877860799996824,318820.0248695624
position2_tpose_270.pcd,53888,14,0.17001133099995513,316967.1085041633
position2_tpose_90.pcd,54017,14,0.17079454299999952,316268.8868812404
position2_tpose_bottom-barrier_center_0.pcd,51594,13,0.15777536399997416,327009.2281327803
position2_tpose_bottom-barrier_center_180.pcd,51506,13,0.1578345400000103,326329.0785400752
position2_tpose_bottom-barrier_center_270.pcd,52104,13,0.15852641300000414,328677.08928731416
position2_tpose_bottom-barrier_center_90.pcd,51583,13,0.15755271299997275,327401.53449473716
position2_tpose_bottom-barrier_left_0.pcd,50440,13,0.15722470399998656,320814.7238744639
position2_tpose_bottom-barrier_left_180.pcd,50099,13,0.1582935769999949,316494.206205231
position2_tpose_bottom-barrier_left_270.pcd,50567,13,0.1581975550000152,319644.6367328189
position2_tpose_bottom-barrier_left_90.pcd,50094,13,0.15856677199997193,315917.38526410103
position2_tpose_bottom-barrier_right_0.pcd,52015,13,0.15802058899998883,329165.9671006775
position2_tpose_bottom-barrier_right_180.pcd,51567,13,0.15850905799999282,325325.25680647435
position2_tpose_bottom-barrier_right_270.pcd,51359,13,0.15876034499996194,323500.17883881717
position2_tpose_bottom-barrier_right_90.pcd,51617,13,0.15848455100001502,325691.0511106859
